"","hour","holiday_mean","nonholiday_mean"
"1","10",NA,20.3125
"2","11",21.25,23.3041958041958
"3","12",50.5,41.2302839116719
"4","13",46.1111111111111,37.7335640138408
"5","14",32.7777777777778,30.8695652173913
"6","15",18.8888888888889,28.4333333333333
"7","16",25,27.208904109589
"8","17",18.6363636363636,23.1993006993007
"9","18",15,24.2579505300353
"10","19",15,22.8214285714286
"11","20",20.5555555555556,22.1611721611722
"12","21",25,20.9770114942529
"13","22",NA,18.4848484848485
