"","date","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",2021-07-01,11.6666666666667,38.3333333333333,32.2222222222222,32.2727272727273,31.1111111111111,21,20,20,20,16.1111111111111,15,12.7777777777778,10,10,10
"2",2021-07-02,5,26.9230769230769,37.7777777777778,15,15,30.7142857142857,33.75,26.875,25.5,16.5,20,19.5,15,15,15
"3",2021-07-03,5,10,15,15,15,15,23,18.5,22.5,20.5555555555556,12.2222222222222,5,5,5,5
"4",2021-07-04,9,25,21.1111111111111,16.8181818181818,26.6666666666667,23,20,18.3333333333333,28,28.8888888888889,21.25,16.6666666666667,13.3333333333333,11.6666666666667,5
"5",2021-07-05,5,10.5,20,23.75,43.8888888888889,35,39.4444444444444,26.6666666666667,35.5,11.25,19.5454545454545,12.2222222222222,7,5,5
"6",2021-07-06,5,13.8888888888889,31.8181818181818,31.5,35,35,43.125,27.7777777777778,20.4545454545455,25,24,21.25,15,13.8888888888889,NA
"7",2021-07-07,6.66666666666667,18.5,23.3333333333333,24.6153846153846,35,35,36,45,34.1666666666667,38.6363636363636,36,20,20,16,10
"8",2021-07-08,5,NA,37,NA,40,40,NA,NA,NA,NA,63.3333333333333,55,17.5,25,40
"9",2021-07-09,13.75,43.4615384615385,50,48.5,35.4166666666667,25.4545454545455,35,35,35,45.5,35.9090909090909,33.75,21.1111111111111,30,30
"10",2021-07-10,NA,NA,NA,NA,15,41.9230769230769,45.625,41.6666666666667,46.6666666666667,40,41.6666666666667,26.6666666666667,18.3333333333333,25.625,10
"11",2021-07-11,11.4285714285714,26.25,36.25,38.8888888888889,44.0909090909091,31.6666666666667,45.5,36,35,31.6666666666667,31.6666666666667,26.1111111111111,25,25,NA
"12",2021-07-12,5,34.5,45.7692307692308,40,53,39.0909090909091,55,40.9090909090909,30,NA,36.5,35,18.8888888888889,10,NA
"13",2021-07-13,12.7777777777778,35.5,55.5555555555556,40.5,43.125,41.6666666666667,62,41.6666666666667,38,58,34.5454545454545,41.6666666666667,35,35,NA
"14",2021-07-14,11.6666666666667,37.5,52.9166666666667,46.8181818181818,57,62.7777777777778,51,58.8888888888889,47,46.6666666666667,49.5454545454545,23.125,9.44444444444444,5,NA
"15",2021-07-15,12,40.8333333333333,60,48,65,63,47.7272727272727,58.5,39.375,50,38.5,39.0909090909091,14.1666666666667,NA,NA
"16",2021-07-16,20,31.5384615384615,55,50.4545454545455,43.8888888888889,43.5,38.1818181818182,43.8888888888889,40.5,38.5,41.875,28,10,10,NA
"17",2021-07-17,14,30,42.5,39.1666666666667,37.8571428571429,47.5,41,39.1666666666667,40,35.8333333333333,40.8333333333333,23,10,10,NA
"18",2021-07-18,6,40.625,33.8888888888889,50,52.2727272727273,45,40,40,39,44.0909090909091,42,25.625,13.3333333333333,10,NA
"19",2021-07-19,NA,15,NA,40,NA,NA,NA,45,81.5,88.8888888888889,76.6666666666667,52.5,30,30,NA
"20",2021-07-20,9.44444444444444,45.5555555555556,45.5,51.5384615384615,57.3076923076923,52.2222222222222,58,41.25,55.4545454545455,45,53,24.375,15,NA,NA
"21",2021-07-21,39.375,52.7777777777778,60.5555555555556,57,51.5,51,51.6666666666667,56.1111111111111,41.6666666666667,49.4444444444444,53.3333333333333,31.6666666666667,19.4444444444444,15,NA
"22",2021-07-22,NA,37.5,58.3333333333333,64.5,61,68.6363636363636,68,60,54.4444444444444,63,54,30,30,30,NA
"23",2021-07-23,17.1428571428571,47.7272727272727,49,43.75,50,44.0909090909091,42.2222222222222,37.5,42.5,47.5,45.5555555555556,26.5,13.3333333333333,10,NA
"24",2021-07-24,NA,46.5,55.5555555555556,37,42.3076923076923,48.8888888888889,56,37,35,35.5555555555556,35,24.5833333333333,12.7777777777778,5,NA
"25",2021-07-25,10,38.6363636363636,56.6666666666667,40,55.4545454545455,50.5555555555556,42,42.2222222222222,32,38.3333333333333,40.5555555555556,26.6666666666667,15,15,NA
"26",2021-07-26,30.7692307692308,48,51.5384615384615,56.3636363636364,57.5,54,52.5,48.8888888888889,52,51.875,36.8181818181818,43.5,16.6666666666667,5,NA
"27",2021-07-27,18,48.5,58.3333333333333,71,80.4166666666667,71,83,78.3333333333333,75,60.5,35.8823529411765,43,30,30,NA
"28",2021-07-28,13.5,49,60,60,75.5,70.8333333333333,57.8571428571429,45.5555555555556,62.2222222222222,NA,45.7142857142857,38.3333333333333,15.5555555555556,5,NA
"29",2021-07-29,10,56.3636363636364,56.4285714285714,57,63.1818181818182,77.7777777777778,96.8421052631579,52.5,45,50,33.3333333333333,33,15,10,NA
"30",2021-07-30,10,38.75,54.375,49.5454545454545,51,51.1111111111111,48.6363636363636,35,45,31.6666666666667,30.8333333333333,25,21,NA,NA
"31",2021-07-31,10,30.4545454545455,51.875,59.0909090909091,41.25,33.5,43,35,38.3333333333333,39.5833333333333,29.4444444444444,23.5,15,15,NA
